sku,name,brand,category,price,list_price,available,image_url,product_url,store,description,scraped_at
3731291,Paleta Helada Magnum Chocolate Blanco y Almendras Multi Pack con 6 Piezas de 55ml,Magnum,congelados,175.0,192.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57841704/7506306416901_00.jpg?v=638979563119830000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-helada-magnum-chocolate-blanco-y-almendras-multi-pack-con-6-piezas-de-55ml-3731291/p,Chedraui,"Descubre la sublime combinación del helado sabor vainilla exquisitamente cubierto con chocolate blanco y trocitos de almendras de nuestra Paleta Helada Magnum Mini Almendras Chocolate Blanco y déjate llevar por el placer de cada bocado. <div><br><b>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257260
3705423,Ejote Cortado Vima Congelado 450g,Vima,congelados,40.5,40.5,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57615394/8436017439069_00.jpg?v=638978709822730000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/ejote-cortado-vima-congelado-450g-3705423/p,Chedraui,"Ejote Cortado Vima Congelado 450 gr
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257262
3130046,Waffle Eggo Buttermilk 349g,Kellogg's,congelados,108.0,108.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57664667/38000402906_00.jpg?v=638978831792130000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/waffle-eggo-buttermilk-349g-3130046/p,Chedraui,"Eggo waffle buttermilk
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257264
3128644,Waffle Eggo Mini Chocolate 349g,Kellogg's,congelados,109.0,109.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57653768/38000405006_00.jpg?v=638978803832000000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/waffle-eggo-mini-chocolate-349g-3128644/p,Chedraui,"Eggo waffle mini chocolate
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257266
3796133,Boneless Honey-BBQ Tyson 600g,Tyson,congelados,220.0,220.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57844031/7501100699031_00.jpg?v=638979567994900000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/boneless-honey-bbq-tyson-600g-3796133/p,Chedraui,"Boneless Honey-BBQ Tyson 600g

<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257268
3826869,Pancakes First Street 12 Piezas,First Street,congelados,79.9,79.9,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57796635/41512105104_00.jpg?v=638979160256130000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pancakes-first-street-12-piezas-3826869/p,Chedraui,"Pancakes First Street 12 Piezas
<lt/>div<gt/><lt/>br<gt/><lt/>b<gt/>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.<lt/>/b<gt/><lt/>/div<gt/>",2025-11-18T16:18:51.257271
3722713,Mochi Bubbies Triple Chocolate 210g,Bubbies Mochi,congelados,169.0,169.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57750568/787325200840_00.jpg?v=638979050489600000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/mochi-bubbies-triple-chocolate-210g-3722713/p,Chedraui,"Mochi Bubbies Triple Chocolate 210g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257273
3432020,Muffins Originales de Trigo Entero Ezekiel Congelado 454g,Ezekiel,congelados,218.0,226.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57654978/73472001196_00.jpg?v=638978807289030000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/muffins-originales-de-trigo-entero-ezekiel-congelado-454g-3432020/p,Chedraui,"Muffins originales de trigo entero  marca ezekiel (Food For Life) tipo congelado 454g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257275
3257817,Pechuga Tyson Boneless 600g,Tyson,congelados,229.0,229.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57652707/7501100696849_00.jpg?v=638978801424630000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/pechuga-tyson-boneless-600g-3257817/p,Chedraui,"Trocitos de pechuga de pollo sabor buffalo, totalmente cocinados
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257278
3839765,Cheesecake sabor Baileys Jon Donaire 1Kg,Productos Frescos,congelados,295.0,295.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58062455/7501668619731_00.jpg?v=638980757411100000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/cheesecake-sabor-baileys-jon-donaire-1kg-3839765/p,Chedraui,"Cheesecake sabor Baileys Jon Donaire 1Kg
<lt/>div<gt/><lt/>br<gt/><lt/>b<gt/>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.<lt/>/b<gt/><lt/>/div<gt/>",2025-11-18T16:18:51.257280
